,index,X
531,"(0, 66, 4)",0.0
532,"(0, 66, 5)",0.0
533,"(0, 66, 6)",0.0
534,"(0, 66, 7)",0.0
535,"(0, 66, 8)",0.0
536,"(0, 67, 1)",0.0
537,"(0, 67, 2)",0.0
538,"(0, 67, 3)",0.0
539,"(0, 67, 4)",0.0
540,"(0, 67, 5)",0.0
541,"(0, 67, 6)",0.0
542,"(0, 67, 7)",0.0
543,"(0, 67, 8)",0.0
544,"(0, 68, 1)",0.0
545,"(0, 68, 2)",0.0
546,"(0, 68, 3)",0.0
547,"(0, 68, 4)",0.0
548,"(0, 68, 5)",0.0
549,"(0, 68, 6)",0.0
550,"(0, 68, 7)",0.0
551,"(0, 68, 8)",0.0
552,"(0, 69, 1)",0.0
553,"(0, 69, 2)",0.0
554,"(0, 69, 3)",0.0
555,"(0, 69, 4)",0.0
556,"(0, 69, 5)",0.0
557,"(0, 69, 6)",0.0
558,"(0, 69, 7)",0.0
559,"(0, 69, 8)",0.0
560,"(0, 70, 1)",0.0
561,"(0, 70, 2)",0.0
562,"(0, 70, 3)",0.0
563,"(0, 70, 4)",0.0
564,"(0, 70, 5)",0.0
565,"(0, 70, 6)",0.0
566,"(0, 70, 7)",0.0
567,"(0, 70, 8)",0.0
568,"(0, 71, 1)",0.0
569,"(0, 71, 2)",0.0
570,"(0, 71, 3)",0.0
571,"(0, 71, 4)",0.0
572,"(0, 71, 5)",0.0
573,"(0, 71, 6)",0.0
574,"(0, 71, 7)",0.0
575,"(0, 71, 8)",0.0
576,"(0, 72, 1)",0.0
577,"(0, 72, 2)",0.0
578,"(0, 72, 3)",0.0
579,"(0, 72, 4)",0.0
580,"(0, 72, 5)",0.0
581,"(0, 72, 6)",0.0
582,"(0, 72, 7)",0.0
583,"(0, 72, 8)",0.0
584,"(0, 73, 1)",0.0
585,"(0, 73, 2)",0.0
586,"(0, 73, 3)",0.0
587,"(0, 73, 4)",0.0
588,"(0, 73, 5)",0.0
589,"(0, 73, 6)",0.0
590,"(0, 73, 7)",0.0
591,"(0, 73, 8)",0.0
592,"(0, 74, 1)",0.0
593,"(0, 74, 2)",0.0
594,"(0, 74, 3)",0.0
595,"(0, 74, 4)",0.0
596,"(0, 74, 5)",0.0
597,"(0, 74, 6)",0.0
598,"(0, 74, 7)",0.0
599,"(0, 74, 8)",0.0
600,"(0, 75, 1)",0.0
601,"(0, 75, 2)",0.0
602,"(0, 75, 3)",0.0
603,"(0, 75, 4)",0.0
604,"(0, 75, 5)",0.0
605,"(0, 75, 6)",0.0
606,"(0, 75, 7)",0.0
607,"(0, 75, 8)",0.0
608,"(0, 76, 1)",0.0
609,"(0, 76, 2)",0.0
610,"(0, 76, 3)",0.0
611,"(0, 76, 4)",0.0
612,"(0, 76, 5)",0.0
613,"(0, 76, 6)",0.0
614,"(0, 76, 7)",0.0
