,index,X
733,"(91, 6)",1.0
734,"(91, 7)",1.0
735,"(91, 8)",1.0
736,"(92, 1)",1.0
737,"(92, 2)",1.0
738,"(92, 3)",1.0
739,"(92, 4)",1.0
740,"(92, 5)",1.0
741,"(92, 6)",1.0
742,"(92, 7)",1.0
743,"(92, 8)",0.0
744,"(93, 1)",1.0
745,"(93, 2)",1.0
746,"(93, 3)",1.0
747,"(93, 4)",1.0
748,"(93, 5)",1.0
749,"(93, 6)",1.0
750,"(93, 7)",1.0
751,"(93, 8)",1.0
752,"(94, 1)",1.0
753,"(94, 2)",1.0
754,"(94, 3)",1.0
755,"(94, 4)",1.0
756,"(94, 5)",1.0
757,"(94, 6)",1.0
758,"(94, 7)",1.0
759,"(94, 8)",0.0
760,"(95, 1)",1.0
761,"(95, 2)",1.0
762,"(95, 3)",1.0
763,"(95, 4)",1.0
764,"(95, 5)",1.0
765,"(95, 6)",1.0
766,"(95, 7)",1.0
767,"(95, 8)",1.0
768,"(96, 1)",1.0
769,"(96, 2)",1.0
770,"(96, 3)",1.0
771,"(96, 4)",1.0
772,"(96, 5)",1.0
773,"(96, 6)",1.0
774,"(96, 7)",1.0
775,"(96, 8)",0.0
776,"(97, 1)",1.0
777,"(97, 2)",1.0
778,"(97, 3)",1.0
779,"(97, 4)",1.0
780,"(97, 5)",1.0
781,"(97, 6)",1.0
782,"(97, 7)",1.0
783,"(97, 8)",0.0
784,"(98, 1)",1.0
785,"(98, 2)",1.0
786,"(98, 3)",1.0
787,"(98, 4)",1.0
788,"(98, 5)",1.0
789,"(98, 6)",1.0
790,"(98, 7)",1.0
791,"(98, 8)",0.0
792,"(99, 1)",1.0
793,"(99, 2)",1.0
794,"(99, 3)",1.0
795,"(99, 4)",1.0
796,"(99, 5)",1.0
797,"(99, 6)",1.0
798,"(99, 7)",1.0
799,"(99, 8)",1.0
800,"(100, 1)",1.0
801,"(100, 2)",1.0
802,"(100, 3)",1.0
803,"(100, 4)",1.0
804,"(100, 5)",1.0
805,"(100, 6)",1.0
806,"(100, 7)",1.0
807,"(100, 8)",0.0
808,"(101, 1)",1.0
809,"(101, 2)",1.0
810,"(101, 3)",1.0
811,"(101, 4)",1.0
812,"(101, 5)",1.0
813,"(101, 6)",1.0
814,"(101, 7)",1.0
815,"(101, 8)",1.0
816,"(102, 1)",1.0
